Date,portfolio_value,oex
2020-02-18,10000.0,10000.0
2020-02-19,9909.847782751674,10051.749340319306
2020-02-20,9979.194981516399,10000.992802785664
2020-02-21,9972.30590057644,9885.978740772245
2020-02-24,9755.373172511014,9531.47301963512
2020-02-25,9575.887073252099,9252.210278699695
2020-02-26,9522.350814915235,9234.54097411806
2020-02-27,9143.633051782424,8811.8743736921
2020-02-28,8906.976903420913,8764.559121648232
2020-03-02,9501.297277842108,9189.938359791246
2020-03-03,9364.809520535933,8908.822494697715
2020-03-04,9895.418278061557,9282.651114641256
2020-03-05,9768.207506428347,8974.138254856272
2020-03-06,9705.913589785423,8837.550725638668
2020-03-09,9336.973740504867,8189.356330167917
2020-03-10,9493.960811974808,8606.133162399998
2020-03-11,9101.995918617404,8198.15745819868
2020-03-12,8240.131216517395,7434.419882875121
2020-03-13,8839.125135266726,8187.304483889978
2020-03-16,8152.25437923307,7240.126196624228
2020-03-17,9005.712026238994,7670.535689402174
2020-03-18,8904.479919897434,7349.449212563601
2020-03-19,8560.379670244656,7375.985885882611
2020-03-20,8024.0196222600025,7052.054289913763
2020-03-23,7748.963894073606,6882.312479224047
2020-03-24,8152.66878508479,7480.676899240211
2020-03-25,8138.2932966524495,7512.308452273774
2020-03-26,8669.80725765634,7970.909020409004
2020-03-27,8619.984842847078,7691.646279473581
2020-03-30,8980.780011452789,7968.526778411508
2020-03-31,8813.439172631995,7858.277200393082
2020-04-01,8513.091500372911,7539.50753265889
2020-04-02,8782.615600545567,7732.741367604013
2020-04-03,8686.26344954765,7620.638665427481
2020-04-06,9147.725331475802,8127.41561479252
2020-04-07,9044.200296701085,8091.680369203081
2020-04-08,9260.40818781605,8327.928657143353
2020-04-09,9378.548581974766,8412.303161095379
2020-04-13,9252.188639460182,8381.002003781376
2020-04-14,9575.947549160783,8649.80921464776
2020-04-15,9407.357831071376,8494.891589409404
2020-04-16,9532.481863501878,8555.905742705747
2020-04-17,9660.624285225405,8739.743091074106
2020-04-20,9456.086453702937,8598.787714287677
2020-04-21,9264.929536975598,8334.678746709675
2020-04-22,9503.111584944694,8525.994024603577
2020-04-23,9434.170347555786,8527.714667348462
2020-04-24,9538.653455528292,8644.713527119713
2020-04-27,9576.896174600319,8736.103083464503
2020-04-28,9472.926404171507,8650.339140300644
2020-04-29,9356.599034270981,8885.264229735696
2020-04-30,9222.99483281879,8854.492190261082
2020-05-01,9111.183583209135,8617.184858828534
2020-05-04,9154.709887349138,8654.574506456247
2020-05-05,9241.191823549436,8726.573307661021
2020-05-06,9091.33486440625,8689.11822714019
2020-05-07,9027.68391699334,8771.242162694447
2020-05-08,9159.89654804663,8901.939923718171
2020-05-11,9235.861284818959,8922.587636656799
2020-05-12,9178.945638449886,8754.235265178917
2020-05-13,9135.58494606162,8621.883102116915
2020-05-14,9177.114196133261,8717.970901750088
2020-05-15,9151.195162101012,8758.669353454352
2020-05-18,9308.989996593655,8985.91779124403
2020-05-19,9190.079091737603,8894.726957019071
2020-05-20,9230.246881860192,9046.204104581151
2020-05-21,9137.90993666017,8974.535699095935
2020-05-22,9169.187188731546,8992.932035823298
2020-05-26,9175.528165579868,9065.99068833384
2020-05-27,9211.399552521929,9176.041544232434
2020-05-28,9414.336316186622,9150.828877232141
2020-05-29,9475.68258714696,9196.026850104956
2020-06-01,9490.668910539644,9217.99695373531
2020-06-02,9525.448832340244,9287.283925036523
2020-06-03,9567.094425443272,9385.95188097353
2020-06-04,9490.660305259327,9351.209438169753
2020-06-05,9538.18953085172,9584.48012556653
2020-06-08,9616.667523821718,9692.016258054406
2020-06-09,9551.839807979979,9667.002313173944
2020-06-10,9547.809008420038,9660.252223607622
2020-06-11,9202.55456049399,9111.05698760693
2020-06-12,9157.952281281141,9220.048800013248
2020-06-15,9161.778626670888,9285.165838051975
2020-06-16,9444.73576724199,9463.841258185676
2020-06-17,9381.749822658194,9437.635788399717
2020-06-18,9391.380033090663,9448.48876270842
2020-06-19,9295.279223820571,9410.503756534707
2020-06-22,9364.585849821391,9487.92944880058
2020-06-23,9297.408115606419,9548.017040017869
2020-06-24,9182.45776683815,9323.150844225689
2020-06-25,9209.889498000673,9429.826655341121
2020-06-26,9095.663663969099,9172.336103729716
2020-06-29,9191.094382927507,9303.364260473
2020-06-30,9255.016896316225,9444.848755098817
2020-07-01,9323.191479185856,9510.958595923208
2020-07-02,9333.410665198364,9548.877361390312
2020-07-06,9399.041137785574,9732.05311050606
2020-07-07,9539.180795770766,9638.678756403437
2020-07-08,9566.23839480088,9735.494395995831
2020-07-09,9561.67233926594,9701.678515271109
2020-07-10,9696.237711835052,9807.030320067825
2020-07-13,9632.628829477986,9705.64891860027
2020-07-14,9789.282166081,9819.207300695245
